date,num_pos,rate_pos
06-01,1,0.3
06-02,1,0.4
06-03,1,0.1
06-04,2,0.1
06-05,2,0.2
06-06,7,0.6
06-07,4,0.4
06-08,1,0.1
06-09,4,0.7
06-10,7,1.3
06-11,30,4.0
06-12,61,5.1
06-13,23,2.4
06-14,12,1.8
06-15,8,1.1
06-16,13,1.6
06-17,16,1.9
06-18,12,4.9
06-19,32,3.1
06-20,37,7.3
06-21,40,3.4
06-22,25,1.8
06-23,39,6.8
06-24,46,7.4
06-25,58,5.3
06-26,81,7.9
06-27,89,4.7
06-28,82,7.0
06-29,40,7.8
06-30,38,6.3
07-01,45,5.8
07-02,90,6.7
07-03,85,6.5
07-04,82,7.4
07-05,73,8.2
07-06,54,8.5
07-07,65,9.2
07-08,89,7.1
07-09,82,8.2
07-10,103,5.4
07-11,70,7.0
07-12,44,2.9
07-13,86,6.5
07-14,87,9.2
07-15,62,5.0
07-16,74,5.7
07-17,67,5.2
07-18,63,4.3
07-19,83,4.2
07-20,62,6.7
07-21,54,5.4
07-22,73,5.6
07-23,80,5.9
07-24,91,5.4
07-25,70,3.3
07-26,93,6.1
07-27,44,8.3
07-28,109,8.2
07-29,59,5.5
